"URI","Label","Context_Subject","Context_Object","ContextWeight"
"http://dbpedia.org/property/opponent","opponent","http://dbpedia.org/ontology/NCAATeamSeason","http://dbpedia.org/ontology/NCAATeamSeason",108857
"http://dbpedia.org/ontology/currentMember","current member","http://dbpedia.org/ontology/SportsTeamMember","http://dbpedia.org/ontology/SoccerPlayer",72809
"http://dbpedia.org/property/currentclub","currentclub","http://dbpedia.org/ontology/SoccerPlayer","http://dbpedia.org/ontology/SoccerClub",59574
"http://dbpedia.org/property/nationalteam","nationalteam","http://dbpedia.org/ontology/SoccerPlayer","http://dbpedia.org/ontology/SoccerClub",54098
"http://dbpedia.org/ontology/album","album","http://dbpedia.org/ontology/Song","http://dbpedia.org/ontology/Album",53215
"http://dbpedia.org/ontology/genus","genus","http://dbpedia.org/ontology/Insect","http://dbpedia.org/ontology/Insect",50350
"http://dbpedia.org/property/prevTitle","prev title","http://dbpedia.org/ontology/Album","http://dbpedia.org/ontology/Album",49053
"http://dbpedia.org/property/siteCityst","site cityst","http://dbpedia.org/ontology/NCAATeamSeason","http://dbpedia.org/ontology/City",48796
"http://dbpedia.org/property/album","album","http://dbpedia.org/ontology/Song","http://dbpedia.org/ontology/Album",48260
"http://dbpedia.org/property/siteStadium","site stadium","http://dbpedia.org/ontology/NCAATeamSeason","http://dbpedia.org/ontology/Venue",47040
"http://dbpedia.org/ontology/distributor","distributor","http://dbpedia.org/ontology/Film","http://dbpedia.org/ontology/Company",45709
"http://dbpedia.org/property/nextTitle","next title","http://dbpedia.org/ontology/Album","http://dbpedia.org/ontology/Album",44429
"http://dbpedia.org/property/home","Home","http://dbpedia.org/ontology/NCAATeamSeason","http://dbpedia.org/ontology/City",44387
"http://dbpedia.org/ontology/party","party","http://dbpedia.org/ontology/Politician","http://dbpedia.org/ontology/PoliticalParty",43897
"http://dbpedia.org/ontology/team","team","http://dbpedia.org/ontology/SoccerPlayer","http://dbpedia.org/ontology/SoccerClub",41459
"http://dbpedia.org/property/managerclubs","managerclubs","http://dbpedia.org/ontology/SoccerManager","http://dbpedia.org/ontology/SoccerClub",40029
"http://dbpedia.org/ontology/album","album","http://dbpedia.org/ontology/Single","http://dbpedia.org/ontology/Album",39877
